epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1178.12,1.1091,1.0007,1.28917,0.96821,1,0.995,0.55338,1.48581,1.29418,1.7056,0.00132007,0.00132007,0.00132007
104,1188.13,1.15985,1.0443,1.34444,0.96821,1,0.995,0.55338,1.48581,1.29418,1.7056,0.0013134,0.0013134,0.0013134
105,1198.14,0.98097,0.98716,1.25912,0.9771,1,0.995,0.57866,1.48058,1.26794,1.70776,0.00130674,0.00130674,0.00130674
106,1208.42,1.11689,1.00968,1.33623,0.9771,1,0.995,0.57866,1.48058,1.26794,1.70776,0.00130007,0.00130007,0.00130007
107,1218.96,1.08827,0.89417,1.31101,0.97888,1,0.995,0.5538,1.52139,1.19859,1.73066,0.0012934,0.0012934,0.0012934
108,1230.17,1.24923,1.04329,1.38536,0.97888,1,0.995,0.5538,1.52139,1.19859,1.73066,0.00128674,0.00128674,0.00128674
109,1240.69,1.19852,0.98225,1.38335,0.97596,1,0.995,0.57506,1.60904,1.2154,1.79041,0.00128007,0.00128007,0.00128007
110,1250.46,1.14575,1.10387,1.29557,0.97596,1,0.995,0.57506,1.60904,1.2154,1.79041,0.00127341,0.00127341,0.00127341
111,1261.75,1.1016,0.96737,1.30076,0.98081,1,0.995,0.58562,1.63068,1.25555,1.78704,0.00126674,0.00126674,0.00126674
112,1276.1,1.27319,1.02105,1.48245,0.98081,1,0.995,0.58562,1.63068,1.25555,1.78704,0.00126007,0.00126007,0.00126007
113,1288.25,1.27567,1.00181,1.3698,1,0.99539,0.995,0.60043,1.50771,1.16325,1.64451,0.00125341,0.00125341,0.00125341
114,1298.42,1.23806,1.03451,1.36122,1,0.99539,0.995,0.60043,1.50771,1.16325,1.64451,0.00124674,0.00124674,0.00124674
115,1310.96,1.25805,1.07709,1.39567,0.93247,1,0.995,0.5726,1.52134,1.12374,1.62396,0.00124008,0.00124008,0.00124008
116,1321.43,1.22029,0.98693,1.374,0.93247,1,0.995,0.5726,1.52134,1.12374,1.62396,0.00123341,0.00123341,0.00123341
117,1331.76,1.1996,1.03675,1.40576,1,0.95256,0.995,0.5747,1.50858,1.16628,1.63619,0.00122674,0.00122674,0.00122674
118,1342.1,1.18417,0.9216,1.3615,1,0.95256,0.995,0.5747,1.50858,1.16628,1.63619,0.00122008,0.00122008,0.00122008
119,1351.95,1.15851,1.01765,1.39003,1,0.96441,0.995,0.54238,1.5362,1.13346,1.68494,0.00121341,0.00121341,0.00121341
120,1361.76,1.1566,0.983,1.35552,1,0.96441,0.995,0.54238,1.5362,1.13346,1.68494,0.00120675,0.00120675,0.00120675
121,1373.6,1.19685,1.18005,1.42123,0.87148,0.97186,0.9775,0.54712,1.44744,1.16354,1.62992,0.00120008,0.00120008,0.00120008
122,1385.17,1.23455,1.01816,1.46241,0.87148,0.97186,0.9775,0.54712,1.44744,1.16354,1.62992,0.00119341,0.00119341,0.00119341
123,1395.16,1.12655,1.08019,1.31741,0.96592,0.85714,0.96389,0.60066,1.41628,1.199,1.59183,0.00118675,0.00118675,0.00118675
124,1404.91,1.09271,0.90625,1.32307,0.96592,0.85714,0.96389,0.60066,1.41628,1.199,1.59183,0.00118008,0.00118008,0.00118008
125,1414.73,1.14243,0.95476,1.32901,0.76249,1,0.96389,0.5972,1.4389,1.17602,1.59764,0.00117342,0.00117342,0.00117342
126,1424.35,1.09335,0.91326,1.32161,0.76249,1,0.96389,0.5972,1.4389,1.17602,1.59764,0.00116675,0.00116675,0.00116675
127,1435.37,1.21154,0.96826,1.35802,0.87166,0.97324,0.9775,0.58711,1.58899,1.0661,1.6986,0.00116008,0.00116008,0.00116008
